ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatTransferPerMassFlow( W / kg/s)
253;0.005;0.063;6171;1234287
254;0.005;0.063;6419;1283744
255;0.005;0.063;6571;1314150
256;0.005;0.063;6680;1335948
257;0.005;0.063;6759;1351782
258;0.005;0.063;6778;1355660
259;0.005;0.063;6816;1363245
260;0.005;0.063;6854;1370892
261;0.005;0.063;6872;1374369
262;0.005;0.063;6872;1374448
263;0.005;0.063;6880;1376056
264;0.005;0.063;6684;1336875
265;0.01;0.063;9068;906836
266;0.01;0.063;9546;954581
267;0.01;0.063;9856;985573
268;0.01;0.063;10091;1009142
269;0.01;0.063;10284;1028370
270;0.01;0.063;10366;1036554
271;0.01;0.063;10443;1044323
272;0.01;0.063;10566;1056589
273;0.01;0.063;10662;1066169
274;0.01;0.063;10732;1073222
275;0.01;0.063;10194;1019379
276;0.01;0.063;9873;987284
277;0.015;0.063;11393;759555
278;0.015;0.063;12082;805493
279;0.015;0.063;12530;835312
280;0.015;0.063;12872;858112
281;0.015;0.063;13159;877249
282;0.015;0.063;13355;890331
283;0.015;0.063;13411;894073
284;0.015;0.063;13620;908014
285;0.015;0.063;13795;919696
286;0.015;0.063;14241;949384
287;0.015;0.063;12249;816624
288;0.015;0.063;11871;791371
289;0.02;0.063;10408;520380
290;0.02;0.063;11558;577878
291;0.02;0.063;12349;617461
292;0.02;0.063;13025;651229
293;0.02;0.063;13487;674355
294;0.02;0.063;13655;682738
295;0.02;0.063;13674;683703
296;0.02;0.063;13932;696589
297;0.02;0.063;14243;712145
298;0.02;0.063;17099;854929
299;0.02;0.063;;
300;0.02;0.063;13433;671651
301;0.025;0.063;11243;449710
302;0.025;0.063;12518;500721
303;0.025;0.063;13367;534671
304;0.025;0.063;14140;565582
305;0.025;0.063;14714;588553
306;0.025;0.063;14920;596806
307;0.025;0.063;14985;599384
308;0.025;0.063;15469;618754
309;0.025;0.063;15784;631370
310;0.025;0.063;19383;775326
311;0.025;0.063;16476;659022
312;0.025;0.063;14614;584562
313;0.03;0.063;11870;395681
314;0.03;0.063;13233;441114
315;0.03;0.063;14166;472206
316;0.03;0.063;15006;500203
317;0.03;0.063;15711;523709
318;0.03;0.063;16018;533928
319;0.03;0.063;16200;540010
320;0.03;0.063;16718;557259
321;0.03;0.063;17118;570595
322;0.03;0.063;17319;577291
323;0.03;0.063;17920;597330
324;0.03;0.063;15506;516881
325;0.035;0.063;12405;354434
326;0.035;0.063;13787;393919
327;0.035;0.063;14802;422903
328;0.035;0.063;15722;449210
329;0.035;0.063;16541;472612
330;0.035;0.063;16880;482272
331;0.035;0.063;17117;489050
332;0.035;0.063;17448;498504
333;0.035;0.063;18025;514997
334;0.035;0.063;18375;524992
335;0.035;0.063;19091;545445
336;0.035;0.063;16344;466964
